CRASH_ID,CRASH_DATETIME,ROUTE,MILEPOINT,LAT_UTM_Y,LONG_UTM_X,MAIN_ROAD_NAME,CITY,COUNTY_NAME,CRASH_SEVERITY_ID,WORK_ZONE_RELATED,PEDESTRIAN_INVOLVED,BICYCLIST_INVOLVED,MOTORCYCLE_INVOLVED,IMPROPER_RESTRAINT,UNRESTRAINED,DUI,INTERSECTION_RELATED,WILD_ANIMAL_RELATED,DOMESTIC_ANIMAL_RELATED,OVERTURN_ROLLOVER,COMMERCIAL_MOTOR_VEH_INVOLVED,TEENAGE_DRIVER_INVOLVED,OLDER_DRIVER_INVOLVED,NIGHT_DARK_CONDITION,SINGLE_VEHICLE,DISTRACTED_DRIVING,DROWSY_DRIVING,ROADWAY_DEPARTURE
10867580,2016-07-27T16:00:00.000000+0000,102,16.23,4618427.958000001,402935.13950000005,50 W MAIN,TREMONTON,BOX ELDER,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
10868620,2016-07-21T13:30:00.000000+0000,1064,3.361,4648514.0,358332.0,560 N STONE RD,SNOWVILLE,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,true
10871281,2016-07-25T14:50:00.000000+0000,30,91.96,4626535.833,404588.47860000003,SR-30,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
10894519,2016-10-18T20:18:00.000000+0000,15,385,4626079.087,402481.6456,I-15,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
10898147,2016-11-10T18:30:00.000000+0000,13,21.185,4620082.933,404945.0868,HWY 13,GARLAND,BOX ELDER,1,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false
10905410,2016-12-07T17:00:00.000000+0000,102,16.455,4618436.344,403295.5862,SR-102 (MAIN STREET),TREMONTON,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false
10905667,2016-11-28T08:32:00.000000+0000,15,384.9,4625921.979,402446.49850000005,I-15,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true
10905703,2016-11-17T17:25:00.000000+0000,15,377.822066,4616037.0,403274.0,I-15,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false
10907230,2016-12-14T08:32:00.000000+0000,32815,0.1,4620046.212,403730.3427999999,350 E 1400 S,GARLAND,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
10909082,2016-12-11T18:12:00.000000+0000,84,0.285,4646810.738000001,357942.50960000005,I-84,OUTSIDE CITY LIMITS,BOX ELDER,1,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false
